filename,size,uri,download_url
laa0029v.164,230432,atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0029v.164,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0029v.164::0
laa0029v.164.jpeg,null,atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0029v.164.jpeg,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0029v.164.jpeg::0
laa0030v.164,230432,atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0030v.164,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0030v.164::0
laa0030v.164.jpeg,null,atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0030v.164.jpeg,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0030v.164.jpeg::0
laa0031v.164,230432,atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0031v.164,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0031v.164::0
laa0031v.164.jpeg,null,atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0031v.164.jpeg,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0031v.164.jpeg::0
laa0032v.164,230432,atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0032v.164,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0032v.164::0
laa0032v.164.jpeg,null,atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0032v.164.jpeg,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0032v.164.jpeg::0
laa0033v.164,230432,atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0033v.164,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0033v.164::0
laa0033v.164.jpeg,null,atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0033v.164.jpeg,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0033v.164.jpeg::0
laa0034v.164,230432,atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0034v.164,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0034v.164::0
laa0034v.164.jpeg,null,atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0034v.164.jpeg,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0034v.164.jpeg::0
